企业名称,信用代码,企业注册地
云南盛世恒瑞园林建设工程有限公司,91530721584805223L,玉龙县黄山镇金盾小区30号
云南联禹工程项目管理有限公司,91530102MA6KTJJT4M,云南省昆明市五华区西郊王家桥139号3栋1-502室
中路建设（云南）有限公司,91530000MA6L0R019Y,云南省昆明市五华区金鼎山北路22号
河南省城投项目管理有限公司,91410100MA9G5G4X47,河南省郑州市高新技术产业开发区国家大学科技园东区6号楼K座2层
云南源熙建筑工程有限公司,91530902MACE50MM9X,云南省普洱市西盟佤族自治县勐梭镇星河国际S4-10
云南云润工程项目管理有限公司,915301025527156291,云南省昆明市盘龙区穿金路云润天阳小区1幢18楼1803号
云南旭德工程监理咨询有限公司,91530402MA7CNDD71W,云南省昆明高新区海源中路戛纳小镇A座11层1140号
维西鑫祥建设监理有限公司,91533423MAD0QAF99M,云南省迪庆藏族自治州维西傈僳族自治县保和镇东大街四号
云南名建工程有限公司,91530627MAC7TXDKX6,云南省昭通市镇雄县南台街道办事处呢噜坪同心路易地搬迁后续扶持产业园区
云南隆希工程项目管理有限公司,91530302MA6PYEK44B,云南省曲靖市麒麟区瑞和新城瑞康苑29-3号
云南建鹰工程管理咨询有限公司,91533103MA6NYK0M9B,云南省德宏州芒市河东路17号
云南海之运建筑工程管理有限公司,91532329MA6K313F7Q,云南省楚雄彝族自治州武定县狮山镇北街社区
云南长峡电力工程有限公司,91530103MA7FWGFFX2,云南省昆明市盘龙区盘江西路城投湖畔四季城(一期)7栋404室
曲靖南天工程咨询有限公司,91530300566225145D,云南省曲靖市麒麟区翠峰西路三元步行街C2幢
重庆黄金建设（集团）有限公司,9150023373982637X8,重庆市忠县忠州街道州屏环路52号
楚雄天赢项目管理有限公司,9153230076041429X3,云南省楚雄州楚雄市开发区永安安置小区
红河鸿图工程管理有限公司,91532531MA7GKJW25E,云南省红河哈尼族彝族自治州绿春县环城路阿龙村段
云南博精工程建设监理有限公司,91530100713484199T,云南省昆明市盘龙区环城路与白龙路交叉口小龙综合楼12B05号
云南永利工程管理服务有限公司,91530400MA6QACW53X,云南省昆明市盘龙区青云街道办事处大华公园天下时光园10幢406室
云南捷联工程监理有限公司,91530111MA6QK3UC82,中国(云南)自由贸易试验区昆明片区官渡区晓东村357号
重庆市新桦顺建设工程管理有限公司,9150011309240073X3,重庆市巴南区巴县大道26号都汇里财富大厦B座16-1
云南盛皓项目管理有限公司,91530802665512043P,云南省普洱市思茅区昆华路茶林苑小区2-201
云南公路建设监理有限公司,91530000713412945W,云南省昆明市西山区润城第二大道3号写字楼13楼
云南奋进通信工程监理有限公司,915300007194094992,云南省昆明市北京路和平村101号
云南镕诚建设项目管理（集团）有限公司,915300005527257553,云南省昆明市西坝河伍家堆村1号（云南教育出版社培训中心综合楼二层）
云南鹤阳工程项目管理有限公司,91530702MA6Q0EAY1Q,云南省丽江市玉龙纳西族自治县丽江雪山水城生态住宅一期102幢A6128号
